,Name,Global_Sales,NA_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,index,Year_of_Release,Genre,Publisher,Developer,Rating
56,Aero Elite: Combat Academy,0.07,0.04,0.0,0.01,64.0,18.0,7.0,8.0,11859,2002.0,Simulation,Sega,Sega AM2,E
2641,Operation: Vietnam,0.07,0.06,0.0,0.0,65.0,16.0,6.3,4.0,12119,2007.0,Shooter,Majesco Entertainment,Coyote Console,T
2637,Operation Darkness,0.07,0.07,0.0,0.01,46.0,22.0,7.0,21.0,11951,2007.0,Role-Playing,Success,Success,M
3536,Super Ghouls 'n Ghosts,0.07,0.05,0.0,0.0,78.0,19.0,8.8,4.0,11800,2002.0,Platform,Capcom,Capcom,E
746,Dave Mirra BMX Challenge,0.07,0.06,0.0,0.01,32.0,11.0,4.6,10.0,12034,2006.0,Sports,Oxygen Interactive,Left Field Productions,E
3620,Target: Terror,0.07,0.06,0.0,0.01,33.0,19.0,2.7,16.0,12071,2008.0,Shooter,Konami Digital Entertainment,Leviathan Games,M
845,Digimon World Championship,0.07,0.0,0.07,0.0,49.0,6.0,6.5,13.0,12058,2008.0,Role-Playing,Namco Bandai Games,Epics,E
794,Deep Labyrinth,0.07,0.06,0.0,0.0,57.0,18.0,8.8,4.0,12173,2006.0,Action,505 Games,Interactive Brains,E10+
3077,SNK Arcade Classics Vol. 1,0.07,0.06,0.0,0.0,73.0,18.0,8.0,4.0,12033,2008.0,Misc,Ignition Entertainment,SNK Playmore,T
2502,Napoleon Dynamite: The Game,0.07,0.05,0.0,0.0,41.0,23.0,5.949999999999999,11.0,14058,2007.0,Puzzle,Crave Entertainment,7 Studios,E10+
654,Crazy Taxi 2,0.07,0.0,0.07,0.0,82.0,18.0,8.1,29.0,12096,2001.0,Racing,Sega,Hitmaker,T
3255,Silpheed: The Lost Planet,0.07,0.03,0.0,0.01,72.0,12.0,7.5,4.0,12079,2000.0,Shooter,Swing! Entertainment,Treasure,T
3730,The King of Fighters 02/03,0.07,0.03,0.0,0.01,73.0,28.0,8.8,14.0,12221,2005.0,Fighting,SNK,SNK Playmore,T
3716,The Guided Fate Paradox,0.07,0.0,0.06,0.0,74.0,27.0,7.8,66.0,12238,2013.0,Role-Playing,Nippon Ichi Software,Nippon Ichi Software,T
600,Combat: Task Force 121,0.07,0.05,0.0,0.0,44.0,9.0,8.5,4.0,11898,2005.0,Shooter,Zoo Digital Publishing,Direct Action Games,M
2134,Mayhem 3D,0.07,0.06,0.0,0.0,47.0,4.0,8.6,9.0,12239,2011.0,Racing,Evolved Games,Zoo Games,E10+
3375,Speed Zone,0.07,0.01,0.0,0.01,37.0,14.0,3.8,11.0,11934,2009.0,Racing,Bethesda Softworks,Awesome Play Ltd.,E
553,Circus Maximus: Chariot Wars,0.07,0.05,0.0,0.0,67.0,26.0,5.0,4.0,11910,2002.0,Racing,THQ,Kodiak Interactive,T
3724,The Hustle: Detroit Streets,0.07,0.07,0.0,0.01,51.0,11.0,5.3,4.0,11810,2005.0,Sports,Deep Silver,Blade Interactive,T
4233,WipEout HD Fury,0.07,0.0,0.0,0.01,89.0,15.0,8.4,115.0,12247,2009.0,Racing,Sony Computer Entertainment,Studio Liverpool,E10+
2860,R-Type Command,0.07,0.05,0.01,0.01,69.0,29.0,6.5,6.0,11957,2007.0,Strategy,Rising Star Games,Irem,E10+
3753,The Legend of Kage 2,0.07,0.07,0.0,0.0,70.0,21.0,6.3,4.0,11768,2008.0,Action,Square Enix,Taito Corporation,E10+
297,BeatMania,0.07,0.03,0.0,0.01,67.0,30.0,8.9,11.0,12073,2006.0,Simulation,Konami Digital Entertainment,Konami,E10+
2918,Real Time Conflict: Shogun Empires,0.07,0.06,0.0,0.0,35.0,6.0,5.6,11.0,12081,2005.0,Strategy,Namco Bandai Games,Box Clever Interactive,E10+
2902,RayStorm,0.07,0.04,0.0,0.0,79.0,7.0,7.8,4.0,12060,1997.0,Shooter,Sony Computer Entertainment,Taito Corporation,E
3164,Serious Sam II,0.06999999999999999,0.05,0.0,0.0,73.0,65.0,6.85,163.0,12536,2005.0,Shooter,Take-Two Interactive,Croteam,M
2112,Mario vs. Donkey Kong: Tipping Stars,0.06999999999999999,0.0,0.06999999999999999,0.0,70.0,41.0,7.45,120.0,12334,2015.0,Puzzle,Nintendo,"Nintendo, Nintendo Software Technology",E
3106,Saints Row: Gat out of Hell,0.060000000000000005,0.0,0.0,0.01,64.5,61.0,5.85,125.0,13251,2015.0,Action,Deep Silver,Volition Inc.,M
2977,Ride 2,0.060000000000000005,0.0,0.0,0.01,74.5,23.0,7.95,26.0,13438,2016.0,Racing,Milestone S.r.l,Milestone S.r.l,E
129,Antz Extreme Racing,0.06,0.03,0.0,0.01,33.0,9.0,6.85,18.0,13823,2002.0,Racing,Empire Interactive,Empire Interactive,E
3911,Tokobot,0.06,0.06,0.0,0.0,72.0,30.0,7.3,8.0,12378,2005.0,Platform,Take-Two Interactive,Tecmo,E
3908,Titan Quest,0.06,0.01,0.0,0.01,77.0,51.0,8.1,387.0,12847,2006.0,Role-Playing,THQ,Iron Lore Entertainment,T
1783,Kabuki Warriors,0.06,0.05,0.0,0.0,32.0,15.0,2.5,12.0,12289,2001.0,Action,Genki,Light Weight,M
