Book_Name,author,Url,Average_Rating,Ratings_Count,Categories,Year_Published
Day After Night,Anita Diamant,http://books.google.com/books/content?id=kd07wggjl9sC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,27,Fiction,2009-09-07
The Last Days of Dogtown,Anita Diamant,http://books.google.com/books/content?id=Vei2_OQcEcsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,28,Fiction,2007-03-13
Pitching My Tent,Anita Diamant,http://books.google.com/books/content?id=k31y52FY4B4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,2.5,3,Biography & Autobiography,2003-10-02
Harry Potter and the Order of the Phoenix,J.K. Rowling,http://books.google.com/books/content?id=jk87_y-ubE0C&printsec=frontcover&img=1&zoom=5&source=gbs_api,4,157,Fiction,2015-12-08
Harry Potter and the Order of the Phoenix,J. K. Rowling,http://books.google.com/books/content?id=z4OV_nPmO7MC&printsec=frontcover&img=1&zoom=5&source=gbs_api,4.5,506,Juvenile Fiction,2003
The Book of Phoenix,Nnedi Okorafor,http://books.google.com/books/content?id=6e2oBAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,10,Fiction,2015-05-05
The Order of the Phoenix Park,Twenty Major,http://books.google.com/books/content?id=k0I5AgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,2,2,Fiction,2012-08-16
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,http://books.google.com/books/content?id=Sm5AKLXKxHgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,111,Fiction,2015-12-08
Talking as Fast as I Can,Lauren Graham,http://books.google.com/books/content?id=ZHk1DAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,52,Biography & Autobiography,2016-11-29
Alice's Adventures in Wonderland,Lewis Carroll,http://books.google.com/books/content?id=Y7sOAAAAIAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,1535,Alice (Fictitious character : Carroll),1920
